SPlusCode,Fullname,Store,Region,ActivityCode,IsLearned,SecondTest,Score
CE.DMX32852,32852,ĐML_VPH_VYE - 512 Mê Linh,Miền Bắc 1,,,0,0
CE.DMX43705,43705,ĐML_VPH_VYE - 512 Mê Linh,Miền Bắc 1,,,0,0
CE.DMX60748,60748,ĐML_VPH_VYE - 512 Mê Linh,Miền Bắc 1,,,0,0
CE.DMX60761,60761,ĐML_VPH_VYE - 512 Mê Linh,Miền Bắc 1,,,0,0
CE.DMX62456,62456,ĐML_VPH_VYE - 512 Mê Linh,Miền Bắc 1,,,0,0
CE.DMX79334,79334,ĐML_VPH_VYE - 512 Mê Linh,Miền Bắc 1,,,0,0
CE.DMX100094,100094,ĐML_VPH_VYE - 512 Mê Linh,Miền Bắc 1,,,0,0
CE.DMX101060,101060,ĐML_VPH_VYE - 512 Mê Linh,Miền Bắc 1,,,0,0
CE.DMX113631,113631,ĐML_VPH_VYE - 512 Mê Linh,Miền Bắc 1,,,0,0
CE.DMX114491,114491,ĐML_VPH_VYE - 512 Mê Linh,Miền Bắc 1,,,0,0
CE.DMX117208,117208,ĐML_VPH_VYE - 512 Mê Linh,Miền Bắc 1,,,0,0
CE.DMX30826,30826,ĐML_VPH_VYE - Đôn Hậu,Miền Bắc 1,,,0,0
CE.DMX34459,34459,ĐML_VPH_VYE - Đôn Hậu,Miền Bắc 1,,,0,0
CE.DMX37459,37459,ĐML_VPH_VYE - Đôn Hậu,Miền Bắc 1,,,0,0
CE.DMX55880,55880,ĐML_VPH_VYE - Đôn Hậu,Miền Bắc 1,,,0,0
CE.DMX59833,59833,ĐML_VPH_VYE - Đôn Hậu,Miền Bắc 1,,,0,0
CE.DMX105772,105772,ĐML_VPH_VYE - Đôn Hậu,Miền Bắc 1,,,0,0
CE.DMX105781,105781,ĐML_VPH_VYE - Đôn Hậu,Miền Bắc 1,,,0,0
CE.DMX106386,106386,ĐML_VPH_VYE - Đôn Hậu,Miền Bắc 1,,,0,0
CE.DMX115866,115866,ĐML_VPH_VYE - Đôn Hậu,Miền Bắc 1,,,0,0
CE.DMX117203,117203,ĐML_VPH_VYE - Đôn Hậu,Miền Bắc 1,,,0,0
CE.DMX15231,15231,ĐML_YBA_YBA - 319 Nguyễn Thái Học,Miền Bắc 1,,,0,0
CE.DMX30048,30048,ĐML_YBA_YBA - 319 Nguyễn Thái Học,Miền Bắc 1,,,0,0
CE.DMX30050,30050,ĐML_YBA_YBA - 319 Nguyễn Thái Học,Miền Bắc 1,,,0,0
CE.DMX36153,36153,ĐML_YBA_YBA - 319 Nguyễn Thái Học,Miền Bắc 1,,,0,0
CE.DMX46453,46453,ĐML_YBA_YBA - 319 Nguyễn Thái Học,Miền Bắc 1,,,0,0
CE.DMX46461,46461,ĐML_YBA_YBA - 319 Nguyễn Thái Học,Miền Bắc 1,,,0,0
CE.DMX61455,61455,ĐML_YBA_YBA - 319 Nguyễn Thái Học,Miền Bắc 1,,,0,0
CE.DMX61460,61460,ĐML_YBA_YBA - 319 Nguyễn Thái Học,Miền Bắc 1,,,0,0
CE.DMX61464,61464,ĐML_YBA_YBA - 319 Nguyễn Thái Học,Miền Bắc 1,,,0,0
CE.DMX28398,28398,ĐML_YBA_YBA - 42 Điện Biên,Miền Bắc 1,,,0,0
CE.DMX28400,28400,ĐML_YBA_YBA - 42 Điện Biên,Miền Bắc 1,,,0,0
CE.DMX30840,30840,ĐML_YBA_YBA - 42 Điện Biên,Miền Bắc 1,,,0,0
CE.DMX36152,36152,ĐML_YBA_YBA - 42 Điện Biên,Miền Bắc 1,,,0,0
CE.DMX57982,57982,ĐML_YBA_YBA - 42 Điện Biên,Miền Bắc 1,,,0,0
CE.DMX61445,61445,ĐML_YBA_YBA - 42 Điện Biên,Miền Bắc 1,,,0,0
CE.DMX61454,61454,ĐML_YBA_YBA - 42 Điện Biên,Miền Bắc 1,,,0,0
CE.DMX19881,19881,ĐMM_DBI_MCH - Mường Chà,Miền Bắc 1,,,0,0
CE.DMX95384,95384,ĐMM_DBI_MCH - Mường Chà,Miền Bắc 1,,,0,0
CE.DMX53785,53785,ĐMM_DBI_TGI - Tân Thủy (Tuần Giáo),Miền Bắc 1,,,0,0
ce.dmx57332,57332,ĐMM_DBI_TGI - Tân Thủy (Tuần Giáo),Miền Bắc 1,,,0,0
CE.DMX76738,76738,ĐMM_DBI_TGI - Tân Thủy (Tuần Giáo),Miền Bắc 1,,,0,0
CE.DMX109261,109261,ĐMM_DBI_TGI - Tân Thủy (Tuần Giáo),Miền Bắc 1,,,0,0
CE.DMX109262,109262,ĐMM_DBI_TGI - Tân Thủy (Tuần Giáo),Miền Bắc 1,,,0,0
CE.DMX14454,14454,ĐMM_HBI_CPH - Cao Phong,Miền Bắc 1,,,0,0
CE.DMX34095,34095,ĐMM_HBI_CPH - Cao Phong,Miền Bắc 1,,,0,0
CE.DMX42548,42548,ĐMM_HBI_CPH - Cao Phong,Miền Bắc 1,,,0,0
CE.DMX45476,45476,ĐMM_HBI_CPH - Cao Phong,Miền Bắc 1,,,0,0
CE.DMX59147,59147,ĐMM_HBI_CPH - Cao Phong,Miền Bắc 1,,,0,0
CE.DMX103191,103191,ĐMM_HBI_CPH - Cao Phong,Miền Bắc 1,,,0,0
CE.DMX134558,134558,ĐMM_HBI_CPH - Cao Phong,Miền Bắc 1,,,0,0
CE.DMX34101,34101,ĐMM_HBI_DBA - Đà Bắc,Miền Bắc 1,,,0,0
CE.DMX57632,57632,ĐMM_HBI_DBA - Đà Bắc,Miền Bắc 1,,,0,0
CE.DMX105777,105777,ĐMM_HBI_DBA - Đà Bắc,Miền Bắc 1,,,0,0
CE.DMX106464,106464,ĐMM_HBI_DBA - Đà Bắc,Miền Bắc 1,,,0,0
CE.DMX36261,36261,ĐMM_HBI_KBO - Thống Nhất (TT Bo),Miền Bắc 1,,,0,0
CE.DMX38266,38266,ĐMM_HBI_KBO - Thống Nhất (TT Bo),Miền Bắc 1,,,0,0
CE.DMX116738,116738,ĐMM_HBI_KBO - Thống Nhất (TT Bo),Miền Bắc 1,,,0,0
CE.DMX139076,139076,ĐMM_HBI_KBO - Thống Nhất (TT Bo),Miền Bắc 1,,,0,0
CE.DMX20941,20941,ĐMM_HBI_LAS - Vụ Bản,Miền Bắc 1,,,0,0
CE.DMX37405,37405,ĐMM_HBI_LAS - Vụ Bản,Miền Bắc 1,,,0,0
CE.DMX37409,37409,ĐMM_HBI_LAS - Vụ Bản,Miền Bắc 1,,,0,0
CE.DMX52252,52252,ĐMM_HBI_LAS - Vụ Bản,Miền Bắc 1,,,0,0
CE.DMX68444,68444,ĐMM_HBI_LAS - Vụ Bản,Miền Bắc 1,,,0,0
CE.DMX79750,79750,ĐMM_HBI_LAS - Vụ Bản,Miền Bắc 1,,,0,0
CE.DMX80930,80930,ĐMM_HBI_LAS - Vụ Bản,Miền Bắc 1,,,0,0
CE.DMX81250,81250,ĐMM_HBI_LAS - Vụ Bản,Miền Bắc 1,,,0,0
CE.DMX30128,30128,ĐMM_HBI_LSO - Lương Sơn,Miền Bắc 1,,,0,0
CE.DMX44580,44580,ĐMM_HBI_LSO - Lương Sơn,Miền Bắc 1,,,0,0
CE.DMX59150,59150,ĐMM_HBI_LSO - Lương Sơn,Miền Bắc 1,,,0,0
CE.DMX59152,59152,ĐMM_HBI_LSO - Lương Sơn,Miền Bắc 1,,,0,0
CE.DMX72105,72105,ĐMM_HBI_LSO - Lương Sơn,Miền Bắc 1,,,0,0
CE.DMX90110,90110,ĐMM_HBI_LSO - Lương Sơn,Miền Bắc 1,,,0,0
CE.DMX103190,103190,ĐMM_HBI_LSO - Lương Sơn,Miền Bắc 1,,,0,0
CE.DMX28433,28433,ĐMM_HBI_LTH - Chi Nê,Miền Bắc 1,,,0,0
CE.DMX43693,43693,ĐMM_HBI_LTH - Chi Nê,Miền Bắc 1,,,0,0
CE.DMX43697,43697,ĐMM_HBI_LTH - Chi Nê,Miền Bắc 1,,,0,0
CE.DMX44501,44501,ĐMM_HBI_LTH - Chi Nê,Miền Bắc 1,,,0,0
CE.DMX67676,67676,ĐMM_HBI_LTH - Chi Nê,Miền Bắc 1,,,0,0
CE.DMX68442,68442,ĐMM_HBI_LTH - Chi Nê,Miền Bắc 1,,,0,0
CE.DMX35628,35628,ĐMM_HBI_TLA - Mường Khến,Miền Bắc 1,,,0,0
CE.DMX43695,43695,ĐMM_HBI_TLA - Mường Khến,Miền Bắc 1,,,0,0
CE.DMX59149,59149,ĐMM_HBI_TLA - Mường Khến,Miền Bắc 1,,,0,0
CE.DMX59156,59156,ĐMM_HBI_TLA - Mường Khến,Miền Bắc 1,,,0,0
CE.DMX69918,69918,ĐMM_HBI_TLA - Mường Khến,Miền Bắc 1,,,0,0
CE.DMX69920,69920,ĐMM_HBI_TLA - Mường Khến,Miền Bắc 1,,,0,0
CE.DMX105006,105006,ĐMM_HBI_TLA - Mường Khến,Miền Bắc 1,,,0,0
